image,config,psnr,ssim
10_outdoor_hazy.jpg,+sky,13.602709896022265,0.5783667951693262
10_outdoor_hazy.jpg,+refinement,13.888311976451437,0.5904542981007811
10_outdoor_hazy.jpg,full,13.893772576439602,0.5907695996149557
11_outdoor_hazy.jpg,coarse,13.203314432805666,0.5213478759169764
11_outdoor_hazy.jpg,+sky,13.205784442832744,0.521287452185965
11_outdoor_hazy.jpg,+refinement,13.317597798441854,0.5101086374999788
11_outdoor_hazy.jpg,full,13.332427634621807,0.5110702055720818
12_outdoor_hazy.jpg,coarse,12.924978836924694,0.5474574466209629
12_outdoor_hazy.jpg,+sky,12.92497838222539,0.5474586778848379
12_outdoor_hazy.jpg,+refinement,13.162658205794443,0.5654435946250532
12_outdoor_hazy.jpg,full,13.16285350169252,0.5654624201793413
13_outdoor_hazy.jpg,coarse,14.962852468894777,0.5449343666181207
13_outdoor_hazy.jpg,+sky,14.962852392835583,0.5449348855440502
13_outdoor_hazy.jpg,+refinement,15.153331052782859,0.5564252163559696
13_outdoor_hazy.jpg,full,15.153387589658989,0.5564277519376156
14_outdoor_hazy.jpg,coarse,12.35374487132259,0.5321540704522886
14_outdoor_hazy.jpg,+sky,12.353744868535323,0.5321540779212267
14_outdoor_hazy.jpg,+refinement,12.596060483886692,0.5684547593537052
14_outdoor_hazy.jpg,full,12.59606915543835,0.5684556602217742
15_outdoor_hazy.jpg,coarse,13.762513646807912,0.5015109097937525
15_outdoor_hazy.jpg,+sky,13.762513696005751,0.5015109324657662
15_outdoor_hazy.jpg,+refinement,13.907222010401455,0.5306556660050289
15_outdoor_hazy.jpg,full,13.907227456400104,0.5306561780257125
16_outdoor_hazy.jpg,coarse,12.560295355780015,0.427435433806308
16_outdoor_hazy.jpg,+sky,12.560295355780015,0.427435433806308
16_outdoor_hazy.jpg,+refinement,12.685167230141909,0.448643166639953
16_outdoor_hazy.jpg,full,12.685167230141909,0.448643166639953
17_outdoor_hazy.jpg,coarse,11.275027364163925,0.4240278059801459
17_outdoor_hazy.jpg,+sky,11.275027333195622,0.42402783526030624
17_outdoor_hazy.jpg,+refinement,11.393081370076478,0.4416205951019723
17_outdoor_hazy.jpg,full,11.393085537470158,0.44162129751378004
18_outdoor_hazy.jpg,coarse,20.831302294173565,0.6531165770974323
18_outdoor_hazy.jpg,+sky,20.831302294173565,0.6531165770974323
18_outdoor_hazy.jpg,+refinement,21.362312564680074,0.7032579812185062
18_outdoor_hazy.jpg,full,21.362312564680074,0.7032579812185062
19_outdoor_hazy.jpg,coarse,14.997805719986147,0.609894179702741
19_outdoor_hazy.jpg,+sky,14.999053671473959,0.6100471796521799
19_outdoor_hazy.jpg,+refinement,15.52348013130161,0.6213339475288692
19_outdoor_hazy.jpg,full,15.528113938120253,0.6215721387148406
20_outdoor_hazy.jpg,coarse,14.357368937493495,0.49607742578311864
20_outdoor_hazy.jpg,+sky,14.40426867591392,0.4952422594360361
20_outdoor_hazy.jpg,+refinement,14.539985694939412,0.49697528447276346
20_outdoor_hazy.jpg,full,14.637089509562385,0.4983095423756831
21_outdoor_hazy.JPG,coarse,14.950197296545124,0.5341323634267477
21_outdoor_hazy.JPG,+sky,14.950197296545124,0.5341323634267477
21_outdoor_hazy.JPG,+refinement,15.109061271471543,0.5736067567216563
21_outdoor_hazy.JPG,full,15.109061271471543,0.5736067567216563
22_outdoor_hazy.jpg,coarse,15.113247319872363,0.5845324142756348
22_outdoor_hazy.jpg,+sky,15.113286628359084,0.5845192393693891
22_outdoor_hazy.jpg,+refinement,15.487784085609961,0.6403686299251534
22_outdoor_hazy.jpg,full,15.489118526464104,0.6403185862684025
23_outdoor_hazy.jpg,coarse,16.658504048551645,0.684075241197574
23_outdoor_hazy.jpg,+sky,16.658509806428103,0.6840759356829573
23_outdoor_hazy.jpg,+refinement,17.245512154558995,0.7179262290948397
23_outdoor_hazy.jpg,full,17.246865104871937,0.7179817758147031
24_outdoor_hazy.jpg,coarse,15.606723890462266,0.5953844306938362
24_outdoor_hazy.jpg,+sky,15.606723890462266,0.5953844306938362
24_outdoor_hazy.jpg,+refinement,15.922488051524388,0.636657155846738
24_outdoor_hazy.jpg,full,15.922488051524388,0.636657155846738
25_outdoor_hazy.jpg,coarse,15.413285569111704,0.5349647551187621
25_outdoor_hazy.jpg,+sky,15.413285569111704,0.5349647551187621
25_outdoor_hazy.jpg,+refinement,15.695133522486103,0.5678208755240819
